"ref_audit","ref_process","ref_control","score","state","justification","id","dt_registered","ref_owner","rev"
"8","24","11","23","1","","158","","0","0"
"8","24","12","9","1","","159","","0","0"
"9","41","53","100","0","","160","","0","0"
"10","33","16","100","0","","161","","0","0"
"10","33","17","100","0","","162","","0","0"
"10","33","18","100","0","","163","","0","0"
"10","33","19","100","0","","164","","0","0"
"10","33","20","100","0","","165","","0","0"
"10","33","21","100","0","","166","","0","0"
"10","33","22","100","0","","167","","0","0"
"10","33","23","100","0","","168","","0","0"
"10","33","26","100","0","","169","","0","0"
"10","33","55","100","0","","170","","0","0"
"10","35","41","100","0","","171","","0","0"
"10","37","16","100","0","","172","","0","0"
"10","39","16","100","0","","173","","0","0"
"10","39","17","100","0","","174","","0","0"
"10","39","20","100","0","","175","","0","0"
"10","39","25","100","0","","176","","0","0"
"10","39","29","100","0","","177","","0","0"
"10","39","45","100","0","","178","","0","0"
"10","39","49","100","0","","179","","0","0"
"10","41","53","100","0","","180","","0","0"
"10","43","16","100","0","","181","","0","0"
"10","43","17","100","0","","182","","0","0"
"10","43","20","100","0","","183","","0","0"
"10","43","42","100","0","","184","","0","0"
"10","45","55","100","0","","185","","0","0"
"10","47","16","100","0","","186","","0","0"
"10","47","20","100","0","","187","","0","0"
"10","47","22","100","0","","188","","0","0"
"10","47","25","100","0","","189","","0","0"
"10","47","29","100","0","","190","","0","0"
"10","47","30","100","0","","191","","0","0"
"10","47","31","100","0","","192","","0","0"
"10","47","32","100","0","","193","","0","0"
"10","47","39","100","0","","194","","0","0"
"10","49","16","100","0","","195","","0","0"
"10","49","54","100","0","","196","","0","0"
"10","49","55","100","0","","197","","0","0"
"10","51","16","100","0","","198","","0","0"
"10","51","20","100","0","","199","","0","0"
"10","51","22","100","0","","200","","0","0"
"10","51","38","100","0","","201","","0","0"
"10","51","39","100","0","","202","","0","0"
"10","53","16","100","0","","203","","0","0"
"10","53","17","100","0","","204","","0","0"
"10","53","22","100","0","","205","","0","0"
"10","53","29","100","0","","206","","0","0"
"10","53","31","100","0","","207","","0","0"
"10","53","35","100","0","","208","","0","0"
"10","53","55","100","0","","209","","0","0"
"10","55","16","100","0","","210","","0","0"
"10","57","16","100","0","","211","","0","0"
"10","57","49","100","0","","212","","0","0"
"10","59","20","100","0","","213","","0","0"
"10","59","31","100","0","","214","","0","0"
"10","59","42","100","0","","215","","0","0"
"10","59","44","100","0","","216","","0","0"
"10","59","55","100","0","","217","","0","0"
"10","61","16","100","0","","218","","0","0"
"10","61","17","100","0","","219","","0","0"
"10","61","20","100","0","","220","","0","0"
"10","61","25","100","0","","221","","0","0"
"10","61","29","100","0","","222","","0","0"
"10","61","45","100","0","","223","","0","0"
"10","61","49","100","0","","224","","0","0"
"11","63","16","100","0","","225","","0","0"
"11","63","17","100","0","","226","","0","0"
"11","63","18","100","0","","227","","0","0"
"11","63","19","100","0","","228","","0","0"
"11","63","20","100","0","","229","","0","0"
"11","63","21","100","0","","230","","0","0"
"11","63","22","100","0","","231","","0","0"
"11","63","23","100","0","","232","","0","0"
"11","63","26","100","0","","233","","0","0"
"13","71","59","54","1","","236","","0","0"
"14","67","57","100","0","","237","","0","0"
"14","67","58","100","0","","238","","0","0"
"14","71","59","54","0","","239","","0","0"
"14","71","60","100","0","","240","","0","0"
