"id","ref_document","ref_user","ref_controller_group","release_count","origin","stage_position","type","dt_created","dt_ocurred","dt_due","info"
"72","12","454","0","2","1","1","6","2022-02-17 10:57:58.0","2022-02-17 10:58:07.0","","pruebas pruebas pruebas pruebas pruebas "
"73","12","463","0","2","1","0","16","2022-02-17 10:58:08.0","","",""
"74","12","312","0","2","1","0","0","2022-02-17 10:58:08.0","2022-02-17 10:58:58.0","",""
"75","24","454","0","1","1","0","16","2022-02-17 11:03:07.0","2022-02-17 11:04:15.0","",""
"76","24","312","0","1","1","0","0","2022-02-17 11:03:07.0","2022-02-17 11:03:15.0","",""
"77","24","454","0","2","1","0","1","2022-02-17 11:04:15.0","2022-02-17 11:04:15.0","2022-02-17","pruebas pruebas pruebas pruebas pruebas "
"78","24","312","0","2","1","1","2","2022-02-17 11:04:15.0","2022-02-17 11:05:05.0","2022-02-17",""
"79","24","454","0","2","1","1","3","2022-02-17 11:04:15.0","2022-02-17 11:04:15.0","2022-02-17",""
"80","24","312","0","2","1","0","11","2022-02-17 11:04:15.0","","",""
"81","24","0","0","2","2","0","5","2022-02-17 11:05:05.0","2022-02-17 11:05:05.0","",""
"82","26","454","0","1","1","0","16","2022-02-17 11:17:13.0","2022-02-17 11:19:00.0","",""
"83","26","312","0","1","1","0","0","2022-02-17 11:17:13.0","2022-02-17 11:17:17.0","",""
"84","26","454","0","2","1","0","1","2022-02-17 11:19:00.0","2022-02-17 11:19:00.0","2022-02-17","pruebas pruebas pruebas pruebas "
"85","26","312","0","2","1","1","2","2022-02-17 11:19:00.0","2022-02-17 11:19:35.0","2022-02-17",""
"86","26","454","0","2","1","1","3","2022-02-17 11:19:00.0","2022-02-17 11:19:00.0","2022-02-17",""
"87","26","312","0","2","1","0","11","2022-02-17 11:19:00.0","","",""
"88","26","0","0","2","2","0","5","2022-02-17 11:19:35.0","2022-02-17 11:19:35.0","",""
"89","27","454","0","1","1","0","16","2022-02-17 11:23:19.0","","",""
"90","27","312","0","1","1","0","0","2022-02-17 11:23:19.0","2022-02-17 11:23:24.0","",""
"91","28","312","0","1","1","0","42","2022-02-22 08:51:29.0","2022-02-22 08:51:29.0","",""
"92","29","312","0","1","1","0","42","2022-02-22 08:51:29.0","2022-02-22 08:51:29.0","",""
"93","29","261","0","1","1","0","2","2022-02-22 08:59:12.0","2018-12-30 00:00:00.0","2018-12-30",""
"94","29","125","0","1","1","0","2","2022-02-22 08:59:47.0","2018-12-30 00:00:00.0","2018-12-30",""
"95","29","206","0","1","1","0","3","2022-02-22 09:00:27.0","2018-12-30 00:00:00.0","2018-12-30",""
"96","28","261","0","1","1","0","2","2022-02-22 08:59:12.0","2018-12-30 00:00:00.0","2018-12-30",""
"97","28","125","0","1","1","0","2","2022-02-22 08:59:47.0","2018-12-30 00:00:00.0","2018-12-30",""
"98","28","206","0","1","1","0","3","2022-02-22 09:00:27.0","2018-12-30 00:00:00.0","2018-12-30",""
"99","29","454","0","1","1","0","16","2022-02-22 09:06:03.0","2022-02-22 09:06:03.0","",""
"100","29","454","0","1","1","0","0","2022-02-22 09:06:03.0","2022-02-22 09:06:03.0","",""
"101","29","312","0","2","1","0","11","2022-02-22 09:07:03.0","","",""
"102","29","0","0","2","2","0","5","2022-02-22 09:07:03.0","2022-02-22 09:07:04.0","",""
"103","30","312","0","1","1","0","42","2022-02-22 09:18:25.0","2022-02-22 09:18:25.0","",""
